gene	Class
YOR237W	II
YMR207C	IX
YPL254W	VI
YGR187C	VI
YBR009C	IX
YNL030W	IX
YPL127C	VIII
YBR010W	IV
YNL031C	IX
YLL022C	II
YGR191W	IX
YOR038C	IX
YER055C	X
YFR025C	IV
YCL030C	IV
YIL116W	IV
YJR055W	V
YDR420W	IX
YMR161W	IX
YDR528W	IX
YER057C	X
YML075C	IX
YLR450W	VIII
YOL095C	VII
YCL066W	III
YCL067C	V
YDR174W	VII
YCR097W	V
YCR096C	VI
YOR032C	I
YJR147W	IV
YBR034C	VII
YLR205C	II
YGL077C	VIII
YDL125C	IV
YDR305C	VI
YDL227C	IX
YJR075W	VIII
YMR032W	VIII
YDR158W	X
YER052C	IX
YJR139C	X
HOR2	X
YMR251W-A	IX
YGL194C	VII
YPL116W	VIII
YPR193C	IV
YEL066W	III
YBR215W	V
YDR138W	VII
YDR399W	II
YNL004W	VI
YOL013C	VII
YOR267C	VIII
YOL123W	IV
YDR291W	IX
YPL204W	VIII
YLR097C	VII
YMR186W	X
YGL073W	VI
YKL138C-A	VI
YBR133C	VI
YOR020C	IX
YLL026W	X
YFL014W	X
YJL159W	VIII
YCR021C	VIII
YPL280W	IV
YLR259C	X
YDR258C	VIII
YPL240C	VIII
YOL068C	IX
YPL015C	VIII
YOR025W	VII
YDR191W	VII
YGR223C	IX
YDR225W	IX
YBL003C	IV
YDR224C	IX
YBL002W	IX
YHR067W	II
YCR020W-B	VI
YOL012C	IV
YGR268C	VIII
YPL244C	VIII
YFR053C	X
YGL253W	X
YHR094C	IV
YFL011W	X
YNR072W	X
YDR345C	VII
YHR096C	VIII
YDR343C	X
YDR342C	X
YKL189W	IV
YIR037W	X
YOR126C	VII
YNL164C	VI
YIL090W	IX
YBR157C	IV
YJL077C	I
YLR099C	II
YMR195W	II
YPL250C	II
YDL066W	X
YLR174W	IV
YNL009W	IV
YFL013C	X
YOR189W	VI
YER092W	IV
YEL044W	II
YBR159W	X
YLR223C	V
YOL023W	VI
YHR132W-A	VIII
YHR187W	X
YLR384C	X
YJL057C	VIII
YBL076C	X
YMR108W	IX
YJR016C	X
YLR355C	IV
YCL009C	X
YAR073W	II
YHR216W	I
YLR432W	IV
YML056C	IX
YJL106W	VIII
YCR046C	IX
YCR071C	VII
YLR309C	VI
YJR138W	IX
YJL082W	IV
YBR107C	IV
YMR150C	IV
YIL154C	VII
YHR148W	IX
YNL075W	IX
YDL181W	IX
YNL152W	VIII
YJL153C	VIII
YOL108C	II
YGL150C	IV
YMR204C	VI
YMR163C	II
YOR109W	IX
YOL065C	VII
YLR095C	VI
YMR044W	VI
YHR085W	VI
YNL182C	IX
YDR315C	VII
YBR011C	X
YDR072C	VII
YPL242C	VIII
YBR140C	VIII
YOL081W	X
YOR235W	I
YPL017C	III
YMR073C	IX
YOR044W	IV
YDR332W	IX
YDR540C	IX
YFR038W	VIII
YFR043C	X
YLL027W	VI
YER019W	X
YER180C	IX
YER048W-A	VIII
YMR081C	IV
YPL040C	VIII
YOR155C	VII
YPR106W	VIII
YNL265C	VII
YIR005W	V
YPL135W	VIII
YOR226C	IV
YOR304W	V
YGL133W	VI
YDR497C	X
YOL103W	IX
YDR229W	VI
YDL115C	V
YKL032C	IX
YDR492W	VII
YOL101C	II
YJL073W	VIII
YJR119C	II
YPR169W	VIII
YNL227C	VIII
YJL162C	IV
YMR132C	VII
YMR294W	VIII
YKR038C	IX
YER110C	X
YNL188W	VI
YJL034W	X
YPR141C	VIII
YCL055W	VII
YMR065W	VI
YPL269W	VIII
YCL024W	VI
YFR042W	IX
YHR158C	IX
YPL263C	VIII
YPL145C	VIII
YNL238W	IX
YIL125W	VIII
YJL094C	VIII
YHR102W	VI
YLR096W	IX
YAR018C	VIII
YOR233W	VI
YCR091W	IX
YKL168C	VIII
YDL049C	II
YLL019C	VI
YHR186C	VIII
YNL322C	IX
YDR483W	X
YDR532C	VI
YER038C	VI
YNL132W	X
YPR159W	VIII
YJL174W	VIII
YNL308C	VI
YCL059C	VI
YHR082C	VI
YBL071W-A	VI
YKL110C	VII
YKR061W	IV
YBR205W	VII
YNL029C	VIII
YPL053C	VIII
YIL085C	VIII
YGL079W	VII
YJL207C	VI
YKL008C	VII
YHL003C	IX
YOL025W	II
YNL045W	X
YKR063C	VII
YOR181W	VIII
YNL071W	X
YMR296C	VIII
YDR062W	IX
YJL134W	VII
YDR499W	VI
YGL085W	VII
YER127W	VII
YCL005W	VI
YLL049W	V
YBL006C	VII
YNL323W	IX
YOR123C	VI
YGL009C	II
YCL018W	I
YNL104C	IV
YOR108W	IV
YPL055C	VIII
YDL051W	X
YKL073W	VIII
YGL090W	VII
YMR298W	IX
YOR196C	IX
YFR001W	VII
YKL183W	VII
YLR011W	IX
YFL018C	X
YCL051W	VI
YDL240W	VI
YNR008W	VII
YHR081W	VI
YDR439W	V
YJL100W	III
YOR142W	IV
YGR244C	X
YJL124C	IX
YBL026W	V
YLR438C-A	IX
YER112W	IV
YER146W	VII
YDR378C	V
YJR022W	V
YPL004C	VIII
YKL176C	VI
YGR057C	VIII
YAL024C	VIII
YPR073C	IX
YDR034C	IX
YDL182W	IV
YDR234W	II
YNR050C	IV
YMR021C	IX
YGL086W	V
YJL013C	VII
YDR005C	VI
YLR427W	VIII
YEL053C	VII
YKL021C	IX
YAL025C	IX
YDR060W	VI
YPR051W	IV
YCR020C-A	IV
YBR142W	VI
YGR292W	II
YGR288W	II
YBR299W	II
YBR297W	II
YIL070C	VI
YLR244C	X
YBL091C	VIII
YLR163C	VI
YHR024C	VIII
YCR040W	I
YCR039C	V
YJL199C	I
YDL056W	IV
YKL165C	VIII
YOL119C	IV
YOR306C	IV
YNL307C	VIII
YMR043W	VI
YIL150C	VII
YJR135C	VII
YPR019W	VIII
YGL201C	X
YKL150W	II
YOR221C	V
YJR024C	VIII
YNL173C	IV
YOL126C	IV
YNL328C	III
YLR188W	X
YLR368W	VI
YHR194W	IV
YOR147W	IX
YPR083W	VIII
YOL027C	IX
YLR106C	IV
YJL112W	IX
YBR136W	X
YPR070W	VI
YMR112C	IV
YDL005C	VII
YHR058C	VII
YBR193C	VIII
YLR069C	VIII
YKR007W	VII
YPL121C	II
YOR351C	II
YGR121C	II
YNL142W	I
YPR138C	VIII
YGR264C	X
YKR069W	IV
YFR030W	X
YPL023C	VIII
YGL125W	IV
YKL001C	IV
YPR167C	II
YIR017C	II
YJR010W	IV
YIL046W	VIII
YPL038W	VI
YDR253C	II
YNL103W	VII
YJR137C	IV
YER091C	X
YBR213W	VIII
YPL169C	VIII
YDR219C	IX
YPL060W	VIII
YML062C	VI
YJR144W	VII
YCL044C	IX
YPL098C	VIII
YMR115W	VI
YNL218W	IV
YJL042W	X
YDR296W	VII
YLL062C	VII
YKL195W	VI
MIC14	IX
YLR332W	VI
YGL035C	VII
YGL209W	IV
YER028C	II
YMR036C	IX
YOL026C	VII
YOR330C	VIII
YHR015W	II
YJR077C	X
YBR084W	X
YEL007W	X
YOR231W	IX
YPL140C	IV
YNL076W	VI
YNL085W	X
YGL106W	VI
YPR188C	VIII
YNL074C	IX
YLR035C	VIII
YPL164C	VIII
YKR095W	V
YIL051C	IX
YLL006W	IX
YLL061W	IX
YPR164W	VIII
YGL087C	IV
YBR098W	VI
YMR177W	II
YPL224C	VIII
YIR025W	VI
YOR350C	VI
YHR204W	IV
YER001W	IV
YJL183W	X
YBR015C	X
YKL201C	VI
YJL186W	VII
YPL050C	VIII
YKL064W	II
YJR131W	VII
YIL014W	IV
YIL106W	VI
MOS1	IX
YPL082C	VIII
YER068W	VI
YMR070W	VI
YNL249C	VII
YOL088C	IV
YKL059C	VII
YIR002C	VIII
YJL066C	VII
YJR002W	VI
YGL075C	II
YJL019W	VII
YCL061C	VI
YPR112C	VIII
YMR224C	X
YDR033W	X
YGL064C	V
YPR118W	X
YDL079C	II
YPR079W	IV
YOR201C	VII
YGL136C	V
YPL184C	VIII
YDR347W	IX
YDL045W-A	V
YKL003C	VIII
YPR166C	VI
YDR405W	II
YBL090W	IV
YHL004W	VII
YKL167C	VI
YPL118W	VIII
YKL142W	II
YDR116C	VII
YKR006C	IX
YLR312W-A	VII
YBL038W	VII
YNL252C	IX
YNL185C	IV
YKR085C	IX
YOR150W	VII
YMR193W	VII
YGR076C	VII
YBR282W	VI
YMR024W	VIII
YKL138C	IX
YCR003W	VII
YMR286W	V
YDR322W	IX
YBR122C	IX
YKL170W	IX
YML009C	V
YLR439W	IX
YPL173W	IX
YMR225C	V
YNR022C	VII
YPR100W	VIII
YDR237W	IX
YJL063C	VII
YGR220C	VII
YPL013C	IV
YMR188C	VI
YDR337W	V
YGR165W	IX
YBR251W	VIII
YOR334W	IV
YJL133W	IV
YKR052C	IV
YOR370C	IX
YKL009W	VII
YOR066W	VI
YOR188W	IX
YGR014W	IX
YNL293W	VII
YOL112W	VIII
YML128C	VIII
YOR354C	X
YOL033W	IX
YNL053W	IV
YCR092C	IX
YDL154W	IX
YBR195C	VII
YNL073W	VII
YLR116W	IX
YGR171C	VIII
YOL116W	VIII
YKL062W	VIII
YDR335W	VIII
YNR049C	VII
YGR028W	IV
YHR091C	IX
YMR023C	II
YMR164C	IV
YDR194C	VI
YDR208W	VIII
YLR203C	VIII
YJL123C	VI
YKL098W	VI
YBR255W	VI
YDR128W	X
YHR151C	VIII
YKR080W	II
YDL044C	VI
YMR097C	IX
YGR023W	IV
YGR257C	IX
YGL236C	IV
YNL063W	IV
YDR140W	VI
YKL186C	V
YGR158C	IX
YAL034W-A	VIII
YMR100W	VIII
MUC1	X
YBR119W	V
YKL074C	VII
YPL070W	VI
YOR298W	II
YGR055W	IV
YHL036W	IV
YDR386W	IV
YGR206W	V
YMR004W	VII
YCL033C	IX
YHR023W	VI
YOR326W	IX
YKL129C	X
YAL029C	VIII
YMR109W	VIII
YGL122C	IX
YPL190C	VIII
YML117W	VIII
YNL124W	VII
YGR031C-A	I
YLR382C	VII
YNL137C	VIII
YPL126W	VIII
YKR048C	VIII
YNL240C	II
YIL007C	IV
YGR232W	VIII
YDL040C	X
YGR147C	IX
YPR131C	VII
YMR069W	VII
YOR253W	VI
YHR199C-A	VII
YLR457C	VIII
YDR162C	VI
YGL091C	VII
YPR155C	IX
YJL116C	V
YJL205C	V
YPR149W	VIII
YNL036W	II
YBL024W	VII
YHR042W	X
YPL006W	X
YNL119W	VI
YGL211W	IX
YML031W	IX
YOR372C	VI
YMR145C	VIII
YDL085W	I
YOL104C	IX
YLR254C	VIII
YLR265C	VI
YHR004C	IX
YIL048W	VI
YJL076W	IX
YPL226W	VIII
YCL017C	I
YKR103W	VI
YKL040C	IV
YDR176W	VI
YOL042W	V
YDL002C	VII
YDL208W	IX
YPR052C	VIII
YBR089C-A	V
YDR456W	X
YFR002W	VI
YMR309C	VIII
YPL211W	IX
YNL078W	IV
YIL164C	III
YLR351C	X
YDR383C	VII
YLR315W	VII
YLR328W	IX
YNL123W	II
YHR077C	VI
YHR170W	IX
YLR363C	VI
YJR132W	IX
YLR195C	VII
YJR112W	VI
YGR089W	VI
YKL171W	VI
YOR056C	VIII
YOR206W	VI
YLR002C	VI
YPL093W	VIII
YNR053C	VI
YDL014W	X
YHR072W-A	VI
YOL041C	VI
YNL175C	IV
YDL148C	V
YNL110C	VII
YER002W	VI
YGR251W	IX
YNL061W	VIII
YPL043W	VI
YPL146C	VI
YLR197W	IX
YOR310C	X
YDL213C	VII
YOL144W	V
YIL038C	VI
YPR072W	VI
YDL046W	VIII
YDR432W	IV
YMR091C	VI
YCR026C	VIII
YEL016C	IX
YOR209C	IX
YGL067W	VIII
YNL251C	I
YBR066C	IV
YNL129W	IV
YNR009W	VII
YDL167C	VII
YOR071C	IX
YGL111W	VII
YER126C	VII
YLR007W	II
YDL105W	VII
YML023C	IX
YNL156C	VII
YPL233W	III
YJL041W	X
YGR159C	IV
YNL091W	VI
YJR062C	VIII
YER009W	X
YAL015C	II
YOL043C	VII
YDR001C	VIII
YPR031W	VIII
YOR373W	VIII
YOL069W	VIII
YER006W	VII
YDR150W	VI
YOR098C	X
YKL068W	VIII
YMR047C	VIII
YGL092W	X
YER105C	X
YIL115C	X
YBL079W	VIII
YML103C	X
YJL039C	X
YGL172W	X
YMR153W	VI
YGR119C	VII
YAR002W	VI
YJL061W	IX
YJR042W	IV
YPR168W	VIII
YHR195W	VI
YLR093C	VI
YKL120W	II
YKR064W	VI
YKL055C	VII
YPL052W	IV
YNL099C	VIII
YNL056W	VII
YCR095C	VI
YHL029C	VIII
YGL038C	VI
YOR222W	II
YML060W	IV
YGR179C	VII
YBR025C	IV
Q0130	V
YDR316W	VI
YHL020C	VIII
YJR073C	X
YDL096C	II
YPR194C	X
YBR129C	VIII
YPR075C	VIII
YLL004W	VI
YPR162C	VIII
YNL261W	IV
YGR038W	IX
YDL019C	VIII
YHR001W	IV
YJL002C	X
YOR085W	X
YDL232W	VII
YML019W	IX
YMR148W	V
YFL044C	VII
YHL013C	VIII
YER154W	X
YKL215C	X
YPL196W	VIII
YHR179W	X
YDR071C	VI
YER165W	X
YOR269W	VII
YDR538W	IX
YBR279W	VIII
YMR165C	IV
YMR174C	IV
YJL104W	VI
YLR008C	IX
YIR006C	X
YKL025C	VII
YIL145C	IV
YOL115W	II
YCR077C	VIII
YLL025W	IV
YBR301W	II
YLR199C	VI
YNL015W	VI
YCL052C	VIII
YGR178C	X
YBR233W	IV
YDL053C	IX
YJL128C	VII
YBR094W	IX
YBR295W	VIII
YKR095W-A	V
YDR228C	IV
YNL289W	IV
YGL134W	VII
YDL127W	VII
YHR071W	IX
YER059W	V
YIL050W	II
YEL058W	VIII
YBR222C	VIII
YGR202C	II
YER178W	X
YBR221C	X
YLR044C	X
YDR081C	VI
YLR134W	X
YGL248W	VIII
YPR002W	II
YCL043C	X
YGL013C	VII
YOR328W	X
YDR406W	X
YNL231C	V
YNR070W	IV
YOR153W	X
YLR266C	IX
YGR193C	VIII
YBL017C	VIII
YOR036W	VII
YLR148W	VI
YMR231W	VI
YDR323C	VII
YLR064W	VI
YKR046C	IV
YDR079W	V
YBL080C	IV
YER058W	V
YER153C	VIII
YOR158W	VII
YJR034W	VI
YPL159C	VIII
YLR067C	IX
YNR045W	VII
YGR222W	VII
YBL030C	X
YDR265W	IV
YLR191W	IX
YGL153W	VIII
YGR239C	III
YPL112C	VI
YOR193W	IV
YDR479C	VIII
YBR168W	VIII
YDR244W	VII
YNL329C	X
YGR077C	IX
YOL003C	VI
YDR459C	IX
YJL179W	IX
YGR240C	X
YMR205C	X
YIL107C	II
YOL136C	IX
YNL317W	VII
YOR122C	VII
YNL158W	VI
YNL149C	VIII
YPL206C	VIII
YGL025C	VII
YBR196C	X
YCR012W	X
YMR105C	X
PGM3	IX
YGR132C	X
YGR231C	IX
YKL043W	VIII
YDR281C	I
YER037W	IV
YAR071W	II
YHR215W	II
YDL236W	VIII
YDL106C	VII
YNL097C	VII
YBR092C	VII
YFR034C	VII
YBR093C	IV
YDR481C	IV
YGR233C	VII
YML123C	I
YPL031C	II
YBR106W	IX
YBR296C	II
YJL198W	VII
YJL097W	IX
YDR313C	IX
YGL023C	IX
YER053C	IV
YIL045W	VIII
YHR034C	VII
YNL267W	VI
YGR086C	X
YBL022C	VIII
YOR104W	III
YPR154W	VIII
YBL051C	VIII
YOR363C	IV
YKL164C	X
YKL163W	X
YPR113W	VIII
YBL105C	VIII
YDR490C	IV
YOL100W	V
YDR466W	IX
YIL042C	IX
YGL059W	IV
YMR008C	IV
YMR006C	VII
YOL011W	IX
YPL268W	VI
YDR183W	VI
YGL008C	X
YPL036W	X
YER132C	VI
YER003C	X
YLR016C	VII
YML107C	VII
YDR276C	V
YNL082W	VI
YDL095W	X
YAL023C	VIII
YJR143C	X
YDL093W	IX
YGR199W	IV
YGL037C	IX
YPL096W	VIII
YOR145C	VII
YLR209C	IV
YML069W	VIII
YIL122W	VII
YBL035C	IX
YNL262W	VI
YDL102W	X
YJR006W	VI
YJR043C	VI
YEL055C	VI
YLR018C	VIII
YNL221C	IV
YNR052C	IX
YNL282W	VII
YBR257W	V
YBL018C	V
YNL055C	X
YGL205W	X
YMR267W	VII
YNR032W	IX
YDL134C	VIII
YDR075W	IV
YDR452W	VII
YPL179W	VIII
YLR014C	VI
YBR276C	VIII
YGR123C	VII
YPL148C	IV
YDR436W	IX
YMR297W	X
YCL057W	X
YER012W	IX
YOR362C	IX
YPR103W	VIII
YJL001W	VI
YMR314W	IX
YOL038W	VII
YBL041W	VIII
YML092C	VIII
YIR008C	VIII
YKL045W	VIII
YIL095W	VII
YPL156C	I
YOR323C	X
YDL043C	VI
YKR086W	VII
YGR006W	VIII
YLL036C	IV
YNR011C	VI
YJL203W	VII
YER013W	VI
YMR268C	VII
YDR243C	IV
YDR473C	V
YGR091W	IV
YML046W	VII
YPR178W	VIII
YKL012W	VIII
YGL120C	IX
YAL032C	IX
YBR237W	VI
YBR055C	IX
YHR165C	VI
YDL030W	VIII
YKL181W	X
YER099C	IV
YBL068W	VII
YOL061W	X
YOR361C	VIII
YJL079C	VII
YDL055C	X
YNL169C	VIII
YGR170W	IV
YMR308C	VIII
YDR013W	VI
YOL045W	VIII
YMR137C	VI
YML017W	VII
YLR019W	VIII
YDR032C	X
YNL201C	VI
YLR376C	IV
YAL043C	VII
YDL006W	VI
YER089C	V
YBL056W	X
YBR125C	IX
YCR079W	VII
YHR189W	VII
YBL057C	VIII
YGR156W	III
YKL039W	VI
YOR208W	VIII
YKR093W	IX
YFR029W	VII
YNL016W	X
YPR042C	VIII
YGL014W	VIII
YDR496C	VII
YER185W	II
YLR414C	VIII
YGR253C	VII
YER094C	IV
YPL212C	VIII
YLR165C	V
YOR243C	VII
YLR142W	IV
YCR057C	VII
YKR090W	VI
YGR280C	VII
YGL062W	IV
YBR218C	X
YOR347C	VII
YPR186C	VI
YHR001W-A	V
YPR191W	VIII
YFR033C	IX
YDR529C	VI
YJL166W	IX
YGR183C	V
YIL121W	IV
YHR074W	X
YLR204W	VII
YDL104C	II
YPL022W	VIII
YMR201C	IV
YBR114W	IV
YGR258C	VIII
YEL037C	VIII
YER173W	VI
YJR035W	VI
YKL113C	VIII
YER171W	V
YDR314C	VII
YLR032W	VIII
YNL250W	V
YER095W	VIII
YML032C	IX
YPL153C	VIII
YGL163C	VI
YDR076W	VII
YDR004W	VII
YDL059C	IV
YDR014W	VII
YJR052W	I
YDR217C	IX
YGL246C	VI
YKL019W	VIII
YOR101W	IV
YNL098C	VIII
YOR048C	VI
YJR033C	VIII
YLR084C	IX
YDR527W	V
YPL246C	VIII
YAL036C	VIII
YGR173W	IX
YOR265W	V
YDL189W	IX
YOL010W	VIII
YMR075W	IV
YBR005W	VIII
YJL204C	V
YBR073W	VIII
YDL135C	VII
YOR285W	VII
YPL133C	VIII
YPR094W	V
YBR049C	VIII
YHR157W	II
YJR021C	VI
YMR133W	IV
YLR263W	VI
YDR195W	II
YDR028C	VI
YBR050C	II
YBR002C	VII
YFR051C	VIII
YPL010W	VIII
YIL139C	VII
YLR059C	II
YOL080C	V
YAR007C	IX
YOR217W	VIII
YNL290W	VII
YBR087W	VII
YBR052C	X
YLR073C	VI
YLR176C	IX
YDR379W	VII
YPR115W	VIII
YFL047W	IX
YIL057C	II
YMR182C	I
YLR071C	VII
YKL038W	X
YDL138W	VII
YPR165W	VIII
YNL090W	IX
YIL118W	VII
YKR055W	VII
YNL180C	VI
RHR2	IV
YNL163C	V
YBL033C	VIII
YOL066C	IV
YDR487C	IX
YOL143C	IV
YBR256C	IV
YBR153W	IX
YLR039C	IX
YLR453C	IV
YCR028C-A	IX
YHL027W	VIII
YMR139W	VI
YMR154C	IV
YFL033C	VIII
YOR275C	VIII
YNL294C	VIII
YHL024W	II
YMR063W	VII
YOR119C	VII
YLL034C	VI
YOR095C	IV
YBR030W	IX
YDR257C	VI
YLR137W	II
YMR247C	VIII
YPR018W	VIII
YPL089C	VIII
YLR009W	VI
YNL002C	IX
YEL072W	II
YGL107C	VIII
YGR044C	IX
YPL024W	IV
YEL050C	IV
YDR465C	VII
YMR235C	X
YGL044C	IV
YMR234W	IX
YDR279W	VII
YLR154C	VIII
YCL028W	X
YER070W	X
YJL026W	X
YGR180C	X
YMR239C	VI
YGL144C	VIII
YLR371W	VI
YPR065W	VIII
YMR258C	VI
YJR063W	VII
YPR010C	VIII
YDR156W	VI
YOR341W	X
YJL148W	VII
YOR340C	III
YOR210W	IX
YOL005C	IV
YIL021W	VI
YJL140W	IV
YBR154C	VI
YDR404C	VI
YOR224C	IX
YHR143W-A	VI
YDR045C	VI
YNL113W	VII
YKL144C	VI
YNL151C	IV
YNR003C	IX
YKR025W	VII
YDL150W	VI
YPR190C	VIII
YJL121C	X
YHR088W	VI
YKR081C	VII
YBR079C	VIII
YER169W	VII
YIL119C	V
YLR075W	X
YGR085C	X
YEL054C	IX
YDR418W	X
YDL082W	X
YMR142C	X
YKL006W	IX
YHL001W	VI
YLR029C	X
YMR121C	X
YNL069C	X
YKL180W	X
YJL177W	IX
YOL120C	X
YNL301C	V
YBR084C-A	X
YBL027W	X
YPL220W	X
YGL135W	X
YMR242C	IX
YOR312C	IX
YPL079W	VIII
YLR061W	VI
YFL034C-A	V
YBL087C	VI
YER117W	VI
YGL031C	VI
YGR148C	IX
YOL127W	IX
YLR344W	VI
YGR034W	V
YHR010W	X
YDR471W	VI
YGL103W	VI
YFR032C-A	V
YFR031C-A	X
YOR063W	X
YGL030W	V
YDL075W	IX
YLR406C	VII
YBL092W	X
YPL143W	VI
YOR234C	V
YER056C-A	VI
YIL052C	VI
YDL191W	V
YDL136W	V
YMR194W	V
YPL249C-A	VIII
YLR185W	V
YDR500C	V
YLR325C	IX
YJL189W	VI
YIL148W	VI
YKR094C	IX
YDL184C	IX
YDL133C-A	V
YNL162W	V
YHR141C	VI
YPR043W	VI
YJR094W-A	V
YBR031W	X
YDR012W	X
YPL131W	X
YML073C	IX
YLR448W	IX
YPL198W	IV
YHL033C	IV
YLL045C	X
YGL147C	X
YNL067W	III
YFR052W	VII
YLR421C	VI
YIL075C	IX
YER021W	IX
YDL020C	IV
YDL147W	IX
YDL097C	VIII
YPR108W	VIII
YDR427W	VII
YDL140C	VIII
YPR187W	VIII
YOR116C	X
YLR340W	X
YHR062C	VIII
YDL081C	X
YDL130W	IX
YOL039W	X
YDR382W	X
YIR015W	VII
YGR214W	X
YLR048W	X
YOR293W	VI
YMR230W	V
YDR025W	IX
YBR048W	VI
YOR369C	X
YDR064W	VI
YCR031C	X
YJL191W	II
YOL040C	X
YMR143W	V
YDL083C	IX
YML024W	X
YDR447C	VI
YML026C	VI
YOL121C	VI
YNL302C	VI
YLR441C	X
YML063W	X
YGL123W	X
YHL015W	X
YKR057W	IX
YJL136C	V
YJL190C	X
YLR367W	V
YGR118W	IX
YPR132W	VIII
YER074W	VI
YGR027C	VI
YLR333C	VI
YGL189C	X
YER131W	VI
YKL156W	V
YHR021C	V
YOR167C	VI
YLR264W	VI
YLR388W	V
YDL061C	V
YNL178W	X
YLR287C-A	V
YOR182C	V
YLR167W	X
YJR145C	X
YHR203C	X
YJR123W	X
YPL090C	VIII
YBR181C	X
YOR096W	X
YNL096C	VI
YBL072C	X
YPL081W	IV
YBR189W	X
YKL145W	VIII
YDL007W	VIII
YDR394W	VIII
YOR259C	VIII
YOR117W	IX
YGL048C	VIII
YMR131C	VII
YIL153W	VIII
YDR065W	VII
YNL213C	VI
YOL117W	VI
YBL025W	VIII
YML043C	VI
YBL014C	VIII
YJL025W	VIII
YMR270C	VIII
YDR087C	IX
YPL012W	VIII
YKL082C	VI
YPR143W	VI
YHR065C	VII
YOL142W	VI
YDL111C	VII
YCR035C	VII
YDR280W	VII
YMR229C	X
YOR001W	VI
YCL031C	VII
YPR137W	VIII
YER066W	IV
YIL127C	VI
YGL146C	III
YOL048C	VII
YPL193W	IV
YLR221C	VI
YCR072C	VII
YLR357W	VII
YHR056C	VII
YKR008W	VII
YLR033W	VIII
YFR037C	IX
YML127W	VII
YMR030W	IV
YDR041W	VI
YGL129C	VII
YDR175C	IX
YIL093C	VIII
YJR101W	IV
YGR215W	VI
YDR494W	VI
YMR266W	X
YER125W	VIII
YGR213C	I
YOL138C	VI
YNL254C	VII
YOR118W	VII
YPL183W-A	VIII
YGL244W	VIII
YOL067C	VII
YGL252C	VII
YBL103C	VI
YDL025C	VII
YOR014W	VIII
YOR077W	VII
YPL183C	VIII
YJL047C	III
YGR275W	V
YDR289C	V
YER104W	IX
YNL206C	VII
YHR154W	VI
YDR139C	V
YDR190C	IX
YPL235W	VIII
YCR009C	IX
YDR388W	X
YBR095C	VII
YDL076C	VI
YDR159W	VI
YDR129C	X
YDR389W	VI
YGL175C	VII
YHR079C-A	II
YBR280C	VIII
YJR004C	IV
YER043C	X
YER129W	VI
YNL083W	IX
YLR180W	X
YDR502C	X
YPL274W	X
YHR083W	X
YMR060C	V
YPL273W	VIII
YDR143C	IV
YER047C	VI
YFR040W	VI
YJL098W	VI
YKR028W	VIII
YGL229C	VII
YPL218W	VIII
YDL153C	VII
YMR127C	IX
YBL052C	VI
YOR213C	IX
YCR008W	IX
YGR263C	VIII
YKL117W	X
YDR351W	VI
YHR103W	IX
YER087C-B	IX
YER019C-A	VI
YDR180W	VI
YOR329C	VII
Q0160	IX
YHR205W	VIII
YMR214W	VII
YGR049W	V
YBR037C	IV
YBR024W	IV
YJL080C	X
YER120W	X
YBL091C-A	VI
YMR272C	X
YMR305C	X
YGL028C	IV
YGR279C	X
YGL083W	IX
YGR245C	VI
YDR469W	VII
YKL148C	IX
YLL041C	IX
YLR022C	VII
YIL113W	IV
YBR214W	VIII
YIL084C	VIII
YGL224C	II
YDR164C	X
YLR166C	VI
YIR022W	IX
YNR026C	VIII
YLR208W	IX
YMR079W	IX
YGL233W	VI
YPL085W	VIII
YBL050W	VII
YNL287W	X
YLR268W	VII
YPR181C	VIII
YIL109C	X
YDR238C	VIII
YGL137W	VII
YIL076W	X
YER008C	VI
YDL195W	X
YLR440C	VI
YFL005W	X
YDR166C	VI
YFL045C	X
YMR013C	VII
YIL068C	VI
YLR378C	VIII
YPL094C	VIII
YBR171W	VII
YDR170C	VIII
YLR292C	VIII
YPR055W	VIII
